267,Special-Karte der Vereinicten Staaten von Nord-Amerika.,"Smith, J. Calvin (John Calvin) | Th. Fischer",1850,,,General Note: Relief shown by hachures.,,still image,,"Druck u. Verlag von Th. Fischer,",Cassel :,http://digitalcollections.nypl.org/items/f2666370-c52a-012f-e37d-3c075448cc4b
2629,Tambour v. Dragoner (Savoye [?] Dragoner),"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Savoy dragoons, drummer, 1740 (after [Ottenfeld])",Military uniforms | History | Drums | Austrian,still image,Watercolors,,Amsterdam,http://digitalcollections.nypl.org/items/b75ba690-c52f-012f-cc43-58d385a7bc34
2692,Trommler v. Inf. R. Kaiser 1748,"Vinkhuijzen, Hendrik Jacobus",1741,English,,"General Note: Infantry regiment of the emperor, drummer, 1748 (A)",Military uniforms | History | Drums,still image,Watercolors,,,http://digitalcollections.nypl.org/items/c12bd1c0-c52f-012f-ab4c-58d385a7bc34
2749,"Tambour und Pfeifer von Hoch-und Deutschmeister, 1756","Vinkhuijzen, Hendrik Jacobus | Zimburg, Wilhelm von",1741,English,,"General Note: Musicians, infantry regiment Hoch- und Deutschmeister, 1756 (Treuenfest)",Military uniforms | History | Drums | Flutes | Austrian,still image,Lithographs -- Color,,,http://digitalcollections.nypl.org/items/ca9a1150-c52f-012f-5824-58d385a7bc34
3031,Spielleute der Artillery. 1762,"Vinkhuijzen, Hendrik Jacobus | Knötel, Richard (1857-1914)",1760,English,,"General Note: Musicians of Artillery, 1762  (Knötel)",Military uniforms | History | Drums | Wind instruments,still image,wood engraving -- color,,Amsterdam,http://digitalcollections.nypl.org/items/f2cb0520-c52f-012f-f6e0-58d385a7bc34
3148,Trommler  Deutsche Infanterie. 1769,"Vinkhuijzen, Hendrik Jacobus",1760,English,,"General Note: Austrian Infantry Drummer, 1769   (Ottenfeld)",Military uniforms | History | Drums,still image,halftone photographic prints -- hand-colored,,Amsterdam,http://digitalcollections.nypl.org/items/0332d3d0-c530-012f-4faa-58d385a7bc34
3283,Infanterie regt. Colloredo. 1778,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: 8.34  Drummer, 40th Infantry Regiment Colloredo, 1778  (A)",Military uniforms | History | Drums,still image,watercolor,,Amsterdam,http://digitalcollections.nypl.org/items/14897cb0-c530-012f-bf1f-58d385a7bc34
3421,Tambour.,"Vinkhuijzen, Hendrik Jacobus | Gerasch, Franz (b. 1823)",,English,,"General Note: 8.75  Infantry Drummer, 1785  (Gerasch)",Military uniforms | History | Drums,still image,color lithograph SEE ALSO chromolithograph,,Amsterdam,http://digitalcollections.nypl.org/items/2576fde0-c530-012f-5006-58d385a7bc34
3802,"K.K Österreich Armée, Tambour Major Lin[ ] Infanterie 1848","Vinkhuijzen, Hendrik Jacobus",,English,,General Note: Drum Major of German Line Infantry\n\nBroken edges,Military uniforms | History,still image,,,Amsterdam,http://digitalcollections.nypl.org/items/5b174160-c530-012f-fb84-58d385a7bc34
3827,"K.K Österreich Armée, Tonne Major Lin Infanterie 1848","Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Drum Major, Hungarian Line Infantry\n\nBroken edges",Military uniforms | History,still image,,,Amsterdam,http://digitalcollections.nypl.org/items/5e44f930-c530-012f-3e4b-58d385a7bc34
4007,"Oesterreich-Ungarn: Hornist und Trommler (Deutsche Inf.); Subaltern-Offizier (Ungar. Inf.); Stabs-Offizier (Deutsche Inf.); Regiments-Tambour (Deutsche Inf.); Deutscher Infanterist; Ungar. Grenadier-Korporal; Ungar. Grenadier, 1859","Vinkhuijzen, Hendrik Jacobus | Knötel, Richard (1857-1914)",,English,,"General Note: Austrian, German, & Hungarian infantry, 1859 : bugler & trumpeter, German infantry; subaltern officer, Hungarian infantry; senior officer, German infantry; drum-major, German infantry; private, German infantry; corporal of grenadiers, Hungarian infantry; Hungarian grenadier (Knötel)",Military uniforms | History,still image,Lithographs -- Color,,,http://digitalcollections.nypl.org/items/78547cf0-c530-012f-779b-58d385a7bc34
4120,Musik-Banda,"Vinkhuijzen, Hendrik Jacobus | Gerasch, Franz (b. 1823)",,English,,"General Note: Infantry drum major, 1854 (Gerasch)",Military uniforms | History | Drum majors,still image,Lithographs -- Color,,,http://digitalcollections.nypl.org/items/883f56d0-c530-012f-0310-58d385a7bc34
4316,Inf. Reg. 2-e [] Alexander. 1866,"Vinkhuijzen, Hendrik Jacobus | Kulnigg",,English,,"General Note: 12.14  2nd Infantry Regiment Alexander I of Russia, 1866  (Kirchthaler)",Military uniforms | History | Drums | Brass instruments | Infantry,still image,chromolithograph SEE ALSO color lithograph,,,http://digitalcollections.nypl.org/items/a55a17b0-c530-012f-22b9-58d385a7bc34
4559,Trompeter und Trommler. 1866,"Vinkhuijzen, Hendrik Jacobus | Strassgschwandtner, Joseph Anton (1826-1881)",,English,,"General Note: 12.88  Infantry Musicians,  1866   (Strassgschwandtner)",Military uniforms | History | Drums | Brass instruments,still image,colored lithograph,,,http://digitalcollections.nypl.org/items/c6ac22a0-c530-012f-9c40-58d385a7bc34
4567,Arcieren-Leibgarde. Pauker. 1866,"Vinkhuijzen, Hendrik Jacobus | Paterno, F.",,English,,"General Note: 12.91  First Arcieren Leibgarde,  Kettle Drummer, 1866   (Strassgschwandtner)",Military uniforms | History | Drums,still image,colored lithograph,,,http://digitalcollections.nypl.org/items/c8102130-c530-012f-17d0-58d385a7bc34
4617,Deutsche Infanterie. 1866,"Vinkhuijzen, Hendrik Jacobus | Strassgschwandtner, Joseph Anton (1826-1881)",,English,,"General Note: 12.106  Drum Major, Austrian Infantry, 1866   (Strassgschwandtner)",Military uniforms | History | Conductors,still image,colored lithograph,,,http://digitalcollections.nypl.org/items/ce8cdf90-c530-012f-ffb4-58d385a7bc34
4664,"Tambour (in Marsch-Adjustirung), Unterofficier (in Parade), Officier-Stellvertreter (in Parade).","Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: 13.18  Infantry, 1877  (Franceschini)",Military uniforms | History | Drums | Military officers | Austrian,still image,chromolithograph SEE ALSO color lithograph,,,http://digitalcollections.nypl.org/items/d5501770-c530-012f-6bd9-58d385a7bc34
4980,Tambour eines ungarischen Infanterie-Regimentes (Sommer-Marsch-Adjustierung),"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Drummer of a Hungarian infantry regiment, cir. 1900 (Righetti)",Military uniforms | History | Drums,still image,Lithographs -- Color,,,http://digitalcollections.nypl.org/items/024fc2c0-c531-012f-4447-58d385a7bc34
5226,[Infantry.],"Vinkhuijzen, Hendrik Jacobus | Knötel, Richard (1857-1914)",,English,,"General Note: Hungarian infantry, c. 1890 (Knötel & Vogt)\n\n[according to rlin the date of this source is 1887?]\n\n[see [14.22 a] for right section of this print]",Military uniforms | History | Drums,still image,Lithographs -- Color,,,http://digitalcollections.nypl.org/items/25a2d660-c531-012f-7129-58d385a7bc34
5594,Soldat du régiment de Saze-Gotha (ancien de Prié) 1760. Tambour du régiment d'Arberg. 1770.,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Austrian infantry regiments Saxe-Gotha and d'Arberg (drummer), 1770 (Rouen)",Military uniforms | History | Drums | Bayonets,still image,Chromolithographs,,,http://digitalcollections.nypl.org/items/59bb99c0-c531-012f-72bc-58d385a7bc34
5602,"Régiments Wallons au service de Naples, 1775. Tanbour, ensiegne, sergetn, officier, et soldat.","Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Walloon regiments in the service of Naples, 1775 : drummer, ensign, sergeant, officer and soldier (Rouen).",Military uniforms | History | Drums | Arms & armament | Military standards,still image,Chromolithographs,,,http://digitalcollections.nypl.org/items/5b22a400-c531-012f-f51b-58d385a7bc34
5658,Grand serment tambour-major. Bruxelles.,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Patriot Army : Grand serment batallion of Brussels, Drum major, 1789 (Rouen)",Military uniforms | History | Drum majors,still image,Chromolithographs,,,http://digitalcollections.nypl.org/items/63c3aa10-c531-012f-82f9-58d385a7bc34
5662,"Voluntaires patriotes en 1789. Serment de Saint-Georges, timbalier des dragons voluntaires, Bruxelles.","Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Patriot Army : Volunteer dragoons of the serment of Saint - Georges, Kettle drummer; 1789 (Rouen)",Military uniforms | History | Drums | Horseback riding,still image,Chromolithographs,,,http://digitalcollections.nypl.org/items/64347980-c531-012f-cf96-58d385a7bc34
5670,4e régiment (de West-Flandre). Tambour,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Patriot Army : 4th Infantry regiment of West Flanders, 1789 - 1790 (Rouen)",Military uniforms | History | Drums,still image,Chromolithographs,,,http://digitalcollections.nypl.org/items/65aa6de0-c531-012f-8c29-58d385a7bc34
5677,Voluntaires à cheval de Louvain. Tambour-major des escrimeurs de Bruxelles.,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Patriot Army : Mounted volunteer of Louvain, and drum major of the ""fencers of Brussels"", 1789- 1790 (Rouen)",Military uniforms | History | Drum majors,still image,Lithographs -- colored,,,http://digitalcollections.nypl.org/items/671e60b0-c531-012f-ec76-58d385a7bc34
5897,"Letter to Thomas Law, Washington","Emmet, Thomas Addis, 1828-1919 | Law, Thomas | La Rochefoucauld-Liancourt, François Alexandre Frédéric de, Duke",1797-08-26,,"Being on the point of departure, he wishes Law success and happiness, and hopes to hear from him when in France; he desires that the government ""may finish to be drunck,"" so that it may take better and steadier steps; wishes prosperity to America.",,,text,,,New York,http://digitalcollections.nypl.org/items/88fa0310-c531-012f-30bb-58d385a7bc34
6338,Tamboor Majoor [Martetende?] Linie Infanterie.,"Vinkhuijzen, Hendrik Jacobus | Madou, Jean-Baptiste (1796-1877)",,English,,"General Note: 20.23 Line Infantry, 1832 (Madou)",Military uniforms | History | Women | Drum majors | Infantry,still image,,,,http://digitalcollections.nypl.org/items/c771ac20-c531-012f-6ea7-58d385a7bc34
6348,Linie Infanterie.,"Vinkhuijzen, Hendrik Jacobus | Madou, Jean-Baptiste (1796-1877)",,English,,"General Note: 20.26 Line Infantry, 1832 (Madou)",Military uniforms | History | Drums | Rifles | Infantry,still image,,,,http://digitalcollections.nypl.org/items/c8e9f0d0-c531-012f-5362-58d385a7bc34
6358,"ANNUAL DINNER [held by] NATIONAL WHOLESALE DRUGGISTS ASSOCIATION [at] ""DELMONICO'S, NEW YORK, NY"" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1894,,,General Note: MENU & WINES IN FRENCH;COMPLETE PROGRAM;PHOTOGRAPHS OF PAST PRES.& ALL COMMITTEE MEMBERS ON EACH PAGE,,still image,Menus,,,http://digitalcollections.nypl.org/items/cb0388b0-c531-012f-e19c-58d385a7bc34
6362,"2' Regiment Jagen, Trommel Majur und Musiker.","Vinkhuijzen, Hendrik Jacobus | Madou, Jean-Baptiste (1796-1877)",,English,,"General Note: 20.32 Drum Major and Musician, Foot Chasseurs, 1832 (Madou)",Military uniforms | History | Cavalry | Belgian | Drum majors | Musicians,still image,,,,http://digitalcollections.nypl.org/items/cb91e400-c531-012f-a857-58d385a7bc34
6486,Garde civique Premier ban Grenadier Tambour.,"Vinkhuijzen, Hendrik Jacobus | Madou, Jean-Baptiste (1796-1877)",,English,,"General Note: 20.75 1st Class, Civil Guard, 1832 (Madou)",Military uniforms | History | Drums | Daggers & swords,still image,,,,http://digitalcollections.nypl.org/items/de78fff0-c531-012f-cf89-58d385a7bc34
6496,Officier et Marine.,"Vinkhuijzen, Hendrik Jacobus | Madou, Jean-Baptiste (1796-1877)",,English,,"General Note: 20.78 Naval officers & sailors, 1832 (Madou)",Military uniforms | History | Drums | Sailors | Belgian,still image,,,,http://digitalcollections.nypl.org/items/dfcfd920-c531-012f-089a-58d385a7bc34
6512,Sapeur et Tambour.,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Pioneer and drummer of Line Infantry, 1832 (Monnier)",Military uniforms | History | Drums | Daggers & swords | Rifles | Infantry | Belgian,still image,,,,http://digitalcollections.nypl.org/items/e242fe40-c531-012f-6db1-58d385a7bc34
6573,Garde civique belge,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Civic guard, 1835 (Rouen)",Military uniforms | History | Drums | Soldiers | Bayonets | Horseback riding | Physicians,still image,Chromolithographs,,,http://digitalcollections.nypl.org/items/eb7ba910-c531-012f-a60e-58d385a7bc34
6667,Regiment grenadier,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Elite regiment, 1845 (Rouen)",Military uniforms | History | Drums | Bayonets | Backpacks,still image,Chromolithographs,,,http://digitalcollections.nypl.org/items/f89bb420-c531-012f-5b90-58d385a7bc34
6671,"[Three soldiers with instruments, and the drum major.]","Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Elite regiment, 1845 (Rouen)",Military uniforms | History | Drums | Trumpets | Drum majors,still image,Lithographs -- colored,,,http://digitalcollections.nypl.org/items/f9210a80-c531-012f-a624-58d385a7bc34
6726,"Infanterie des communes (blouses) : Tambour, garde, officier.","Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Infantry of the communes (rural civic guard), summer uniform with blouses, 1848 (Rouen)",Military uniforms | History | Drums | Rifles,still image,Chromolithographs,,,http://digitalcollections.nypl.org/items/00d3c4f0-c532-012f-7ada-58d385a7bc34
6738,Garde civique,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Civic guard uniforms, 1848 (Rouen)",Military uniforms | History | Drums | Horseback riding | Flag bearers | Drum majors | Flags | Belgian,still image,Halftone photographic prints -- colored,,,http://digitalcollections.nypl.org/items/02ca2a70-c532-012f-05d7-58d385a7bc34
6763,Infanterie de ligne. 1853,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Line infantry, 1853 (Rouen)",Military uniforms | History | Drums | Daggers & swords | Cavalry | Bayonets | Infantry | Belgian,still image,chromolithograph SEE ALSO color lithograph,,Amsterdam,http://digitalcollections.nypl.org/items/06e81a60-c532-012f-2d08-58d385a7bc34
6800,Garde civique - Tambour. 1856,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Infantry Drummer, Civic Guard, 1856 (Musée Populaire)",Military uniforms | History | Drums,still image,wood engraving -- hand-colored,,Amsterdam,http://digitalcollections.nypl.org/items/0c38dcd0-c532-012f-41df-58d385a7bc34
6803,Garde civique - Tambour-major. 1856,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Infantry Drum Major, Civic Guard, 1856 (Musée Populaire)",Military uniforms | History | Conductors | Military personnel | Belgian,still image,wood engraving -- hand-colored,,Amsterdam,http://digitalcollections.nypl.org/items/0ca3eda0-c532-012f-9424-58d385a7bc34
6822,Infanterie. 1860,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Infantry, 1855-1860   (Rouen, after Henri Hendrickx)",Military uniforms | History | Drums | Bayonets | Rifles | Brass instruments | Infantry | Belgian,still image,wood engraving -- hand-colored,,Amsterdam,http://digitalcollections.nypl.org/items/0f762ee0-c532-012f-e775-58d385a7bc34
6881,Grenadiers. 1871,"Vinkhuijzen, Hendrik Jacobus | Lyon-Claesen, E.",,English,,"General Note: Regiment of Grenadiers, 1871   (Rouen)",Military uniforms | History | Drums | Brass instruments | Flags | Belgian | Military personnel,still image,chromolithograph SEE ALSO color lithograph,,Amsterdam,http://digitalcollections.nypl.org/items/17e14810-c532-012f-f866-58d385a7bc34
6904,Tambor Major et Tambor de la Garde civique. 1881,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Drum Major and Drummer of the Civic Guard, 1881   (after Rouen)",Military uniforms | History | Drums | Conductors,still image,watercolor,,Amsterdam,http://digitalcollections.nypl.org/items/1b3ef270-c532-012f-05f7-58d385a7bc34
6962,Ligne infanterie. 1852,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Corporal of Voltigeurs, Line Infantry, 1853   (Payen)",Military uniforms | History | Drums | Bayonets | Belgian | Infantry,still image,chromolithograph SEE ALSO color lithograph,,Amsterdam,http://digitalcollections.nypl.org/items/22b0e670-c532-012f-bf8e-58d385a7bc34
6984,Grenadiers. 1888,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Regiment of Grenadiers, 1853  (Payen)",Military uniforms | History | Drums | Armies | Belgian | Brass instruments | Military bands,still image,chromolithograph SEE ALSO color lithograph,,Amsterdam,http://digitalcollections.nypl.org/items/267b9e80-c532-012f-71d8-58d385a7bc34
6999,Tambor de Grenadiers. 1896,"Vinkhuijzen, Hendrik Jacobus | Hubert, A.",,English,,"General Note: Drummer of Grenadiers, 1888  (Rouen)",Military uniforms | History | Drums,still image,wood engraving -- hand-colored,,Amsterdam,http://digitalcollections.nypl.org/items/2880f1c0-c532-012f-d34c-58d385a7bc34
7463,"22ND ANNUAL BANQUET [held by] NATIONAL WHOLESALE DRUGGESTS' ASSOCIATION [at] ""HOTEL WALTON,PHILADELPHIA,PA;"" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1896,,,General Note: MENU IN FRENCH;WINES LISTED FOR EACH COURSE; PROGRAM & SPEAKERS LISTED,,still image,Menus,,,http://digitalcollections.nypl.org/items/66ac2ae0-c532-012f-f202-58d385a7bc34
8328,"23RD ANNUAL BANQUET [held by] NATIONAL WHOLESALE DRUGGISTS ASSOC. & THE PROPRIETARY ASSOC. [at] ""JEFFERSON, THE, RICHMOND, VA"" (HOT;)","Buttolph, Frank E., Miss (d. 1924)",1897,,,"General Note: ""INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; DECORATED WITH FLAG, SEAL & STATUARY; SILK RIBBON ATTACHMENT; 2 COPIES;""",,still image,Menus,,,http://digitalcollections.nypl.org/items/d994ee30-c532-012f-b241-58d385a7bc34
11226,"BANQUET [held by] NATIONAL WHOLESALE DRUGGISTS ASSOCIATION & THE PROPRIETARY ASSOCIATION OF AMERICA [at] ""INTERNATIONAL HOTEL, NIAGARA FALLS, NY"" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1899,,,General Note: WINE LIST INCLUDED; SPEAKERS & COMMITTEE MEMBERS LISTED,,still image,Menus,,,http://digitalcollections.nypl.org/items/52ea5880-c534-012f-887e-58d385a7bc34
12008,"Druidical stones, Manitou Park.","Gurnsey, B. H. (Byron H.) (1833-1880)",,,,,,still image,Stereoscopic views,,"Colorado Springs, Colo.",http://digitalcollections.nypl.org/items/c05e4490-c534-012f-cb54-58d385a7bc34
19652,DINNER] [held by] NIPPON YUSEN KAISHA [at] EN ROUTE ABOARD SS. KASUGA (SS;),"Buttolph, Frank E., Miss (d. 1924)",1900,English,,General Note: HANDWRITTEN; COLOR ILLUSTRAION OF CHILDREN CARRYING LANTERNS AND LARGE DRUM;  MAP OF STEAMSHIP ROUTES ON BACK,,text | still image,Menus,,,http://digitalcollections.nypl.org/items/e472e660-c538-012f-d0bd-58d385a7bc34
19906,DINNER [held by] NIPPON YUSEN KAISHA [at] EN ROUTE ABOARD SS.KASUGA (SS;),"Buttolph, Frank E., Miss (d. 1924)",1900,English,,General Note: HANDWRITTEN; COLOR ILLUSTRAION OF CHILDREN CARRYING LANTERNS AND LARGE DRUM;  MAP OF STEAMSHIP ROUTES ON BACK,,text | still image,Menus,,,http://digitalcollections.nypl.org/items/07044e60-c539-012f-4dc8-58d385a7bc34
20018,"BANQUET [held by] NATIONAL WHOLESALE DRUGGISTS ASSOCIATION/PROPRIETARY ASSOCIATION OF AMERICA [at] ""AUDITORIUM, CHICAGO, IL"" (OTHER: AUDITORIUM)","Buttolph, Frank E., Miss (d. 1924)",1900,English,,"General Note: ""COVER ILLUS, AMERICAN FLAG IN SHAPE OF UNITED STATED WITH KEY CITIES MARKED BY MORTAR AND PESTLE; MOTTO: WE ARE SAFE IN THE FOLDS OF OLD GLORY; OFFICERS AND COMMITTEES LISTED; CARTOONS WITH QUOTATIONS; INSIDE COVER: MORTAR AND PESTLE WITHIN FANCIFUL GRAPH""",Flags | American,text | still image,Menus,,,http://digitalcollections.nypl.org/items/16ceb340-c539-012f-0005-58d385a7bc34
